127.0.0.1, 2021-10-13 15:37:35, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.428967
127.0.0.1, 2021-10-13 15:37:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000860
127.0.0.1, 2021-10-13 15:37:37, GET, /admin/default/peek/myapp/databases/sql.log, HTTP/1.1, 200, 0.358053
127.0.0.1, 2021-10-13 15:37:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000822
127.0.0.1, 2021-10-13 15:38:02, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.468020
127.0.0.1, 2021-10-13 15:38:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000914
127.0.0.1, 2021-10-13 15:38:24, GET, /myapp/appadmin/index, HTTP/1.1, 200, 0.259424
127.0.0.1, 2021-10-13 15:38:25, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.774736
127.0.0.1, 2021-10-13 15:38:29, GET, /myapp/appadmin/select/db, HTTP/1.1, 200, 0.268438
127.0.0.1, 2021-10-13 15:38:37, GET, /myapp/appadmin/index, HTTP/1.1, 200, 0.178233
127.0.0.1, 2021-10-13 15:38:38, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.868638
127.0.0.1, 2021-10-13 15:38:41, GET, /myapp/appadmin/insert/db/person, HTTP/1.1, 200, 0.211596
127.0.0.1, 2021-10-13 15:38:45, GET, /myapp/appadmin/index, HTTP/1.1, 200, 0.238426
127.0.0.1, 2021-10-13 15:38:46, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.886580
127.0.0.1, 2021-10-13 15:38:47, GET, /myapp/appadmin/select/db, HTTP/1.1, 200, 0.199219
127.0.0.1, 2021-10-13 15:38:50, GET, /myapp/appadmin/index, HTTP/1.1, 200, 0.189815
127.0.0.1, 2021-10-13 15:38:51, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.785062
127.0.0.1, 2021-10-13 15:38:51, GET, /myapp/appadmin/insert/db/pet, HTTP/1.1, 200, 0.193360
127.0.0.1, 2021-10-13 15:38:58, GET, /myapp/appadmin/index, HTTP/1.1, 200, 0.237389
127.0.0.1, 2021-10-13 15:38:59, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.919865
127.0.0.1, 2021-10-13 15:39:00, GET, /myapp/appadmin/select/db, HTTP/1.1, 200, 0.220011
127.0.0.1, 2021-10-13 15:39:01, GET, /myapp/appadmin/index, HTTP/1.1, 200, 0.205980
127.0.0.1, 2021-10-13 15:39:02, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.954501
127.0.0.1, 2021-10-13 15:39:03, GET, /myapp/appadmin/insert/db/person, HTTP/1.1, 200, 0.206401
127.0.0.1, 2021-10-13 15:40:29, POST, /myapp/appadmin/insert/db/person, HTTP/1.1, 200, 0.211632
127.0.0.1, 2021-10-13 15:40:35, GET, /myapp/appadmin/index, HTTP/1.1, 200, 0.171351
127.0.0.1, 2021-10-13 15:40:36, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.731415
127.0.0.1, 2021-10-13 15:40:38, GET, /myapp/appadmin/insert/db/pet, HTTP/1.1, 200, 0.232513
127.0.0.1, 2021-10-13 15:40:54, POST, /myapp/appadmin/insert/db/pet, HTTP/1.1, 200, 0.203468
127.0.0.1, 2021-10-13 15:40:56, GET, /myapp/appadmin/index, HTTP/1.1, 200, 0.203573
127.0.0.1, 2021-10-13 15:40:57, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.801538
127.0.0.1, 2021-10-13 15:40:59, GET, /myapp/appadmin/insert/db/person, HTTP/1.1, 200, 0.253801
127.0.0.1, 2021-10-13 15:41:15, POST, /myapp/appadmin/insert/db/person, HTTP/1.1, 200, 0.186583
127.0.0.1, 2021-10-13 15:41:16, GET, /myapp/appadmin/index, HTTP/1.1, 200, 0.190857
127.0.0.1, 2021-10-13 15:41:17, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.742553
127.0.0.1, 2021-10-13 15:41:17, GET, /myapp/appadmin/select/db, HTTP/1.1, 200, 0.177406
127.0.0.1, 2021-10-13 15:41:19, GET, /myapp/appadmin/insert/db/pet, HTTP/1.1, 200, 0.184953
